airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type,sentiment
AlaskaAir,9.61588E+17,Thu Feb 08 13:09:55 +0000 2018,RT @AlaskaAir: Retweet if you'd rather be here. #HNL #Travel https://t.co/DInGhaYjOL,398,0,en,,9.48929E+17,,,,neutral
AlaskaAir,9.6145E+17,Thu Feb 08 04:03:10 +0000 2018,RT @msrachelteodoro: I love that @AlaskaAir has a non-stop flight from Seattle to Cancun. Just wishing I was back in the sun. #WishfulWedneâ€_,6,0,en,,9.54898E+17,,,,positive
AlaskaAir,9.61441E+17,Thu Feb 08 03:24:17 +0000 2018,RT @AlaskaAir: Retweet if you'd rather be here. #HNL #Travel https://t.co/DInGhaYjOL,398,0,en,,400287295,,,,neutral
AlaskaAir,9.6144E+17,Thu Feb 08 03:24:12 +0000 2018,RT @AlaskaAir: Retweet if you'd rather be here. #HNL #Travel https://t.co/DInGhaYjOL,398,0,en,,2287715953,,,,neutral
AlaskaAir,9.6144E+17,Thu Feb 08 03:23:52 +0000 2018,RT @AlaskaAir: Retweet if you'd rather be here. #HNL #Travel https://t.co/DInGhaYjOL,398,0,en,,4894035661,,,,neutral
AlaskaAir,9.6144E+17,Thu Feb 08 03:23:37 +0000 2018,RT @AlaskaAir: Retweet if you'd rather be here. #HNL #Travel https://t.co/DInGhaYjOL,398,0,en,,9491152,,,,neutral
AlaskaAir,9.6144E+17,Thu Feb 08 03:22:23 +0000 2018,Hey @AlaskaAir! I am here! You flew me on @VirginAmerica and it was amazing âù_ï¸è https://t.co/ngaM3nnI95,0,0,en,,26960322,US,Ko Olina  HI,city,positive
AlaskaAir,9.6144E+17,Thu Feb 08 03:21:46 +0000 2018,RT @AlaskaAir: Retweet if you'd rather be here. #HNL #Travel https://t.co/DInGhaYjOL,398,0,en,,77766635,,,,neutral
AlaskaAir,9.61439E+17,Thu Feb 08 03:17:35 +0000 2018,RT @SecretFlying: Los Angeles to San Francisco (&amp; vice versa) for only $55 roundtrip with @AlaskaAir.  https://t.co/CpLgAdeZqv https://t.coâ€_,12,0,en,,243462754,,,,positive
AlaskaAir,9.61432E+17,Thu Feb 08 02:52:11 +0000 2018,@AlaskaAir Thank you very much for taking care of me! Says a lot about the company and the people behind it! Thereâ€_ https://t.co/Xe3lvP0rXm,0,0,en,9.61401E+17,1883454625,,,,positive
AlaskaAir,9.61432E+17,Thu Feb 08 02:50:12 +0000 2018,@AlaskaAir why do you get charged to transfer mileage points between spouses?,0,0,en,,26776935,,,,negative
AlaskaAir,9.61428E+17,Thu Feb 08 02:32:57 +0000 2018,Goodbye  @skisteamboat. You were amazing! Iâ€™m already planning my return trip via @alaskaair.â€_ https://t.co/2jPE319NYF,0,1,en,,454368227,,,,neutral
AlaskaAir,9.61424E+17,Thu Feb 08 02:18:44 +0000 2018,@gregpaquette @Delta @united @SouthwestAir @JetBlue @AlaskaAir @AmericanAir @SpiritAirlines Itâ€™s available for theâ€_ https://t.co/Q1g9YRh1RP,0,0,en,9.61421E+17,347818211,,,,negative
AlaskaAir,9.61424E+17,Thu Feb 08 02:17:50 +0000 2018,RT @SecretFlying: Los Angeles to San Francisco (&amp; vice versa) for only $55 roundtrip with @AlaskaAir.  https://t.co/CpLgAdeZqv https://t.coâ€_,12,0,en,,125638405,,,,positive
AlaskaAir,9.61421E+17,Thu Feb 08 02:08:07 +0000 2018,@AlaskaAir It means a lot to us as well! âù_ï¸è,0,0,en,9.61421E+17,37369650,,,,negative
AlaskaAir,9.61417E+17,Thu Feb 08 01:50:31 +0000 2018,Hey @AlaskaAir what's your policy on Cellos in the main cabin? As long as I buy a seat for it &amp; it fits in the seatâ€_ https://t.co/tSsxrtJM13,2,14,en,,21161380,,,,negative
AlaskaAir,9.61411E+17,Thu Feb 08 01:26:32 +0000 2018,RT @SecretFlying: San Diego to Mexico City  Mexico for only $270 roundtrip with @AlaskaAir.  https://t.co/Srr0X0p4hr https://t.co/ajwHrlydRc,2,0,en,,54813528,,,,neutral
AlaskaAir,9.61409E+17,Thu Feb 08 01:20:18 +0000 2018,RT @SecretFlying: Los Angeles to San Francisco (&amp; vice versa) for only $55 roundtrip with @AlaskaAir.  https://t.co/CpLgAdeZqv https://t.coâ€_,12,0,en,,1718030773,,,,positive
AlaskaAir,9.61406E+17,Thu Feb 08 01:08:37 +0000 2018,RT @AlaskaAir: Big news. Weâ€™ve picked up the option on our contract to play for another five years with @TimbersFC. We celebrated Rose Cityâ€_,39,0,en,,1858497511,,,,neutral
AlaskaAir,9.61406E+17,Thu Feb 08 01:08:31 +0000 2018,If these airlines provide more generous benefits then whatâ€™s the point? I hope @AlaskaAir isnâ€™t trying to undermineâ€_ https://t.co/ziRUVKg9rD,0,0,en,,990368971,,,,neutral
AlaskaAir,9.61404E+17,Thu Feb 08 00:59:05 +0000 2018,Oh and look what I saw when I was perusing the @AlaskaAir magazine on the way to California @SpoKate. Nice work!â€_ https://t.co/yPO3zhVjyR,1,11,en,,2188956162,,,,positive
AlaskaAir,9.61402E+17,Thu Feb 08 00:52:33 +0000 2018,RT @SecretFlying: Los Angeles to San Francisco (&amp; vice versa) for only $55 roundtrip with @AlaskaAir.  https://t.co/CpLgAdeZqv https://t.coâ€_,12,0,en,,54813528,,,,positive
AlaskaAir,9.6139E+17,Thu Feb 08 00:03:43 +0000 2018,@AlaskaAir Tracey in Boise call center is super nice and helpful! ,0,0,en,,500131770,,,,positive
AlaskaAir,9.61385E+17,Wed Feb 07 23:43:37 +0000 2018,RT @AlaskaAir: Kevin Durant just scored a HUGE milestoneâ€”20 000 career points. To celebrate @KDTrey5's achievement  we're giving one luckyâ€_,9289,0,en,,9.61383E+17,,,,positive
AlaskaAir,9.61384E+17,Wed Feb 07 23:39:36 +0000 2018,@BandInSeattle @AlaskaAir @COSMOStheband @GibraltarSongs @thisisposse @chimurenga1980 @erikblood  You should addâ€_ https://t.co/SMFyV2CRYE,0,0,en,9.60959E+17,1197552072,,,,negative
AlaskaAir,9.61383E+17,Wed Feb 07 23:34:22 +0000 2018,Impossible to needlepoint in this lighting  but clearly olnâ„¢ï¸è is not part of the virginification of @AlaskaAirâ€_ https://t.co/BJlJ3iUr5C,0,0,en,,5937232,,,,negative
AlaskaAir,9.61369E+17,Wed Feb 07 22:40:53 +0000 2018,@AlaskaAir what is going on with flight 1024? Delayed 40min and supposed to be leaving now. Gate agents havenâ€™t said a word for 2 hours,0,0,en,,223960155,,,,negative
AlaskaAir,9.61366E+17,Wed Feb 07 22:29:27 +0000 2018,@richardbranson I request you to buy @airindiain and @indianairlines and turn them around like what you did forâ€_ https://t.co/OTSeuhsk50,0,0,en,9.61246E+17,9.5867E+17,US,San Jose  CA,city,neutral
AlaskaAir,9.61366E+17,Wed Feb 07 22:28:01 +0000 2018,Horizon sucks - @AlaskaAir is amazing,0,0,en,9.61366E+17,17908809,US,SeaTac  WA,city,positive
AlaskaAir,9.61363E+17,Wed Feb 07 22:16:22 +0000 2018,@Delta Bumner! I am so used to @AlaskaAir and their amazing customer service and policies. I forget not everyone haâ€_ https://t.co/4GgrRFFEnF,0,0,en,9.61359E+17,9.10734E+17,,,,negative
AlaskaAir,9.6136E+17,Wed Feb 07 22:05:56 +0000 2018,@AlaskaAir Still no working WiFi for Mac users in the C lounge in Seattle.,0,0,en,9.61313E+17,13135132,US,SeaTac  WA,city,neutral
AlaskaAir,9.6136E+17,Wed Feb 07 22:03:49 +0000 2018,@AlaskaAir Where is this @AlaskaAir ?? I'd take my whole family! Both kids and husband. Cat can stay home.,0,0,en,9.60273E+17,49491749,,,,negative
AlaskaAir,9.61358E+17,Wed Feb 07 21:55:11 +0000 2018,Photo of N264AK  an @AlaskaAir Boeing 737-990/ER departing from #LAX on Monday. https://t.co/1BK0pq9Wgz #airlines,0,0,en,,148042965,,,,neutral
AlaskaAir,9.61357E+17,Wed Feb 07 21:51:00 +0000 2018,What do you think of @AlaskaAir new pilot uniforms?? https://t.co/0OLK5bvAen,0,1,en,,267409584,,,,negative
AlaskaAir,9.61355E+17,Wed Feb 07 21:43:59 +0000 2018,Big kudos to Maurie w @AlaskaAir at SFO today. Great people at a great airline.,0,0,en,,18261056,,,,positive
AlaskaAir,9.61355E+17,Wed Feb 07 21:42:45 +0000 2018,@ktva @AlaskaAir My bad,0,1,en,9.61338E+17,1196105240,,,,negative
AlaskaAir,9.61353E+17,Wed Feb 07 21:36:50 +0000 2018,RT @ktva: Anchorage-Seattle @AlaskaAir flight returns to Anchorage due to naked passenger in bathroom https://t.co/9DSQKa87o7,9,0,en,,349283197,,,,negative
AlaskaAir,9.61352E+17,Wed Feb 07 21:30:59 +0000 2018,One year ago today we were working quickly to respond to the damage done by a string of tornadoes in Louisiana.â€_ https://t.co/jE3bmlBHa9,1,5,en,,135533359,,,,negative
AlaskaAir,9.61351E+17,Wed Feb 07 21:28:57 +0000 2018,RT @AlaskaAir: @uoc We take all threats very seriously. We are reporting this threat to Law Enforcement.,126,0,en,,3235738638,,,,neutral
AlaskaAir,9.61351E+17,Wed Feb 07 21:28:55 +0000 2018,RT @uoc: bomb on isle 8 @AlaskaAir â€”  https://t.co/29m4PYQzIN,67,0,en,,3235738638,,,,neutral
AlaskaAir,9.6135E+17,Wed Feb 07 21:25:25 +0000 2018,@AlaskaAir @Qantas My christmas present to myself this year was spending my Alaska miles for  New Year's Eve in Sydney!,0,1,en,9.6132E+17,5563972,,,,neutral
AlaskaAir,9.6135E+17,Wed Feb 07 21:22:55 +0000 2018,RT @AlaskaAir: After todayâ€™s big merger milestone  @AlaskaAir and @VirginAmerica prepare for more exciting changes in 2018.  https://t.co/0â€_,109,0,en,,3156104063,,,,neutral
AlaskaAir,9.61349E+17,Wed Feb 07 21:20:35 +0000 2018,@AlaskaAir I registered for a promo and didn't get my bonus miles.  Can you find out what is going on?,0,0,en,,463947369,,,,neutral
AlaskaAir,9.61348E+17,Wed Feb 07 21:15:46 +0000 2018,@AlaskaAir Thank you!,0,0,en,9.61348E+17,2885452897,,,,positive
AlaskaAir,9.61347E+17,Wed Feb 07 21:13:34 +0000 2018,@AlaskaAir hi friends  so is there going to be customer service people to check in everyone at the check in desk at SAN Antonio Intâ€™l??,0,0,en,,2885452897,,,,negative
AlaskaAir,9.61344E+17,Wed Feb 07 21:01:07 +0000 2018,Hey @AlaskaAir you got a second to look into something weird showing up with upgrade listing on my trips page?,0,2,en,,1007640590,,,,neutral
AlaskaAir,9.61343E+17,Wed Feb 07 20:55:54 +0000 2018,Attempting to confirm an upgrade for tomorrow's flight and having the folksy @AlaskaAir hold music loop ingrained iâ€_ https://t.co/UR4NlM6Wmv,0,0,en,,90808763,US,South San Francisco  CA,city,negative
AlaskaAir,9.61342E+17,Wed Feb 07 20:53:37 +0000 2018,RT @FAPA: FAPA Pilot Job Fair LAS 05/02 with @AlaskaAir @AtlasAirWW @airwisconsin @EmpireAir @EnvoyPilots @GamaAviation_us @GoJet_Airlinesâ€_,3,0,en,,8.23685E+17,,,,positive
AlaskaAir,9.61341E+17,Wed Feb 07 20:50:11 +0000 2018,Bluebird days are just ...  #iflyalaska #steamboatsprings @skisteamboat @alaskaair #travelâ€_ https://t.co/i1nWQWeBll,0,0,en,,454368227,,,,negative
AlaskaAir,9.61341E+17,Wed Feb 07 20:46:53 +0000 2018,RT @AlaskaAir: Add the Great Ocean Road to your Australia Bucket List and catch a ride with our Global Partner @Qantas. https://t.co/Za0cd1â€_,7,0,en,,141120724,,,,neutral
AlaskaAir,9.6134E+17,Wed Feb 07 20:43:53 +0000 2018,RT @ktva: Anchorage-Seattle @AlaskaAir flight returns to Anchorage due to naked passenger in bathroom https://t.co/9DSQKa87o7,9,0,en,,109525982,,,,negative
AlaskaAir,9.61339E+17,Wed Feb 07 20:40:22 +0000 2018,@VirginAmerica @AlaskaAir Well that sucks. #keepthepurplelights,1,2,en,9.59169E+17,265018029,,,,negative
AlaskaAir,9.61339E+17,Wed Feb 07 20:39:21 +0000 2018,RT @Kat3Hill: (2/2) Called to get help with a tricky rebook and pretty much got told to go online and figure it out. Thanks. @AlaskaAir @Viâ€_,2,0,en,,7.68896E+17,,,,negative
AlaskaAir,9.61338E+17,Wed Feb 07 20:38:52 +0000 2018,RT @ktva: Anchorage-Seattle @AlaskaAir flight returns to Anchorage due to naked passenger in bathroom https://t.co/9DSQKa87o7,9,0,en,,25042637,,,,negative
AlaskaAir,9.61338E+17,Wed Feb 07 20:38:02 +0000 2018,Anchorage-Seattle @AlaskaAir flight returns to Anchorage due to naked passenger in bathroom https://t.co/9DSQKa87o7,9,8,en,,18364698,,,,negative
AlaskaAir,9.61336E+17,Wed Feb 07 20:29:43 +0000 2018,RT @AviationISAC: Do you have a #cyber #nofly list? Jessica Ferguson of @AlaskaAir explains why you should. . . and gives a shout out to ISâ€_,4,0,en,,37203253,,,,neutral
AlaskaAir,9.61333E+17,Wed Feb 07 20:16:29 +0000 2018,Learn what PMs from @AlaskaAir  @Gap  @SiriusXM  @CareDotCom  @TUNE  and @alkamitech are focused on in 2018.â€_ https://t.co/H9DIWCwRLJ,0,0,en,,267925827,,,,negative
AlaskaAir,9.61332E+17,Wed Feb 07 20:13:32 +0000 2018,"@AlaskaAir Sara  Its all about ensuring pleasant ""customer experiences and customer journeys"". A simple sign wouldâ€_ https://t.co/xoCO0em5Sf",0,0,en,9.61315E+17,381872626,,,,negative
AlaskaAir,9.6133E+17,Wed Feb 07 20:03:11 +0000 2018,@AlaskaAir flt809. Nicest flight crew and pilots and we havenâ€™t even left the ground yet. #FlyAlaska #GreatService,0,0,en,,17015084,US,Portland International Airport  Portland,neighborhood,positive
AlaskaAir,9.61329E+17,Wed Feb 07 20:01:56 +0000 2018,Alaska Airlines expands year-old partnership with Japan Airlines #BizNews #airlines #travel #transportationâ€_ https://t.co/jmEXiVbfBr,0,0,en,,23663732,,,,neutral
AlaskaAir,9.61325E+17,Wed Feb 07 19:45:42 +0000 2018,@Dmnd_Heart @AlaskaAir We can't risk your health like that!,0,1,en,9.61325E+17,64609353,,,,neutral
AlaskaAir,9.61325E+17,Wed Feb 07 19:43:40 +0000 2018,@TacoTimeNW @AlaskaAir If @AlaskaAir and @TacoTimeNW partnered  Iâ€™d be the most loyal and probably obese ,0,1,en,9.60996E+17,9.33727E+17,,,,positive
AlaskaAir,9.61322E+17,Wed Feb 07 19:34:06 +0000 2018,@AlaskaAir Yes you will Alaska and Virgin is the only way to fly  canâ€™t wait until it is just. One Alaska. Great services.,0,0,en,9.61317E+17,602087543,,,,neutral
AlaskaAir,9.61322E+17,Wed Feb 07 19:33:30 +0000 2018,@AlaskaAir this just doesnâ€™t look good  I am sitting next to a broken seat. I know Iâ€™m seating in coach but câ€™mon!â€_ https://t.co/5IviJtVBRs,0,0,en,,946799239,,,,negative
AlaskaAir,9.61321E+17,Wed Feb 07 19:30:50 +0000 2018,@TacoTimeNW @keeganprosser @AlaskaAir This is an amazing conversation. I would love miles for tacos. Brilliant partnership. Make it happen.,0,3,en,9.61013E+17,88741171,,,,neutral
AlaskaAir,9.61321E+17,Wed Feb 07 19:30:13 +0000 2018,RT @AlaskaAir: Add the Great Ocean Road to your Australia Bucket List and catch a ride with our Global Partner @Qantas. https://t.co/Za0cd1â€_,7,0,en,,1873459238,,,,neutral
AlaskaAir,9.61321E+17,Wed Feb 07 19:30:00 +0000 2018,@AlaskaAir And again  the team @AlaskaAir is awesome. Girls are all set now  yay!,0,0,en,9.61311E+17,133019849,,,,positive
AlaskaAir,9.61321E+17,Wed Feb 07 19:29:26 +0000 2018,@atxtyson @AlaskaAir First in line?,0,0,en,9.6132E+17,17908809,US,SeaTac  WA,city,negative
AlaskaAir,9.6132E+17,Wed Feb 07 19:26:25 +0000 2018,@AlaskaAir Flatiron,0,0,en,9.60908E+17,826142005,,,,negative
AlaskaAir,9.6132E+17,Wed Feb 07 19:25:44 +0000 2018,RT @coppedge: Not sure #HIPAA rules in force when @teladoc Doctor taking calls next to me @AlaskaAir lounge... but I did learn what to do wâ€_,2,0,en,,48996083,,,,negative
AlaskaAir,9.6132E+17,Wed Feb 07 19:25:38 +0000 2018,@snickn @AlaskaAir Southwest letâ€™s me upgrade to first ,0,0,en,9.6132E+17,71164773,,,,positive
AlaskaAir,9.6132E+17,Wed Feb 07 19:24:22 +0000 2018,@snickn @AlaskaAir Wow i thought this was â€œone airlineâ€ù,0,0,en,9.61313E+17,71164773,,,,negative
AlaskaAir,9.61319E+17,Wed Feb 07 19:21:14 +0000 2018,Catalina flyby on @AlaskaAir this morning. Life is good https://t.co/xeco8EqxAn,0,0,en,,14302101,,,,neutral
AlaskaAir,9.61318E+17,Wed Feb 07 19:18:17 +0000 2018,Not sure #HIPAA rules in force when @teladoc Doctor taking calls next to me @AlaskaAir lounge... but I did learn whâ€_ https://t.co/wPQP1XtuyO,2,19,en,,18648423,,,,negative
AlaskaAir,9.61318E+17,Wed Feb 07 19:17:21 +0000 2018,Alaska Airlines donates $1.5 million to remodel Smithsonianâ€™s National Air and Space Museum https://t.co/elWeyuZIdo via @AlaskaAir,0,0,en,,16992028,,,,neutral
AlaskaAir,9.61316E+17,Wed Feb 07 19:10:26 +0000 2018,@AlaskaAir would like to say thank you for the first class upgrade on my flight home from the Super Bowl yesterdayâ€_ https://t.co/0m1y4mtEm1,0,1,en,,602087543,,,,positive
AlaskaAir,9.61315E+17,Wed Feb 07 19:05:07 +0000 2018,@AlaskaAir Understood. Why not put a sign saying so? I see the sign at the Lounge in C  but there's none in Terminaâ€_ https://t.co/Q20pD2jWS7,0,0,en,9.61314E+17,381872626,,,,negative
AlaskaAir,9.61313E+17,Wed Feb 07 18:58:03 +0000 2018,@AlaskaAir if you donâ€™t accept @prioritypasscom   why not put up a sign saying so? (AlaskaAir lounge in Terminal N- 11 AM today). ,0,0,en,,381872626,,,,negative
AlaskaAir,9.61313E+17,Wed Feb 07 18:55:53 +0000 2018,Whereâ€™s the â€œAccept and Connectâ€ù button @AlaskaAir? Using safari on a Macâ€_the button doesnâ€™t exist!  https://t.co/pYrQhZmAWx,0,0,en,,13135132,US,SeaTac  WA,city,negative
AlaskaAir,9.61312E+17,Wed Feb 07 18:54:25 +0000 2018,RT @FAPA: FAPA Pilot Job Fair LAS 05/02 with @AlaskaAir @AtlasAirWW @airwisconsin @EmpireAir @EnvoyPilots @GamaAviation_us @GoJet_Airlinesâ€_,3,0,en,,2879595187,,,,positive
