airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type,sentiment
SouthwestAir,9.63845E+17,Wed Feb 14 18:38:08 +0000 2018,Please @SouthwestAir you give the greatest way for me to see my loved ones in MKE but driving to DEN is a pain. Makâ€_ https://t.co/WSMm5cvVfv,0,0,en,,2970046005,,,,positive
SouthwestAir,9.63811E+17,Wed Feb 14 16:22:06 +0000 2018,RT @SouthwestAir: @BrianMayes Is that even possible? ^WB https://t.co/7aZo4g31ik,1,0,en,,41842642,,,,neutral
SouthwestAir,9.6381E+17,Wed Feb 14 16:21:14 +0000 2018,@joelgagne @SouthwestAir Sorry we didnâ€™t get to see you.  Next time I hope!!  ,0,0,en,9.6381E+17,122976935,,,,negative
SouthwestAir,9.6381E+17,Wed Feb 14 16:19:26 +0000 2018,@SouthwestAir bringing the valentines fun in Indy!!!  Plus free drinks and candy- thanks!!!! https://t.co/99jy0pmEIK,0,0,en,,370206900,,,,positive
SouthwestAir,9.6381E+17,Wed Feb 14 16:19:13 +0000 2018,@judyastahl @SouthwestAir I was leaving Ohio...and not on my beloved 737!,0,0,en,9.63523E+17,44003887,,,,neutral
SouthwestAir,9.6381E+17,Wed Feb 14 16:17:48 +0000 2018,Whatâ€™s the point of buying #BusinessSelect on @SouthwestAir when all of the front seats are always taken by preboarâ€_ https://t.co/5sIu1pHt01,0,1,en,,2909554712,,,,neutral
SouthwestAir,9.63809E+17,Wed Feb 14 16:17:26 +0000 2018,Shoutouts to @SouthwestAir for making my #ValentinesDay a little SWEETER!  #myfavoriteairline #freegoodies https://t.co/zWb1kLXcm7,0,1,en,,34175038,US,Houston  TX,city,positive
SouthwestAir,9.63809E+17,Wed Feb 14 16:15:59 +0000 2018,All yellow everything @garyvee @SouthwestAir @canadadrycanada https://t.co/5rexdqBa6E,0,0,en,,26417826,,,,negative
SouthwestAir,9.63809E+17,Wed Feb 14 16:13:54 +0000 2018,@SouthwestAir Let them board first but they should be required to select seats in the rear of the plane as not to tâ€_ https://t.co/C8fjMC4TAV,0,0,en,9.63561E+17,7.88472E+17,,,,negative
SouthwestAir,9.63808E+17,Wed Feb 14 16:13:26 +0000 2018,What a difference changing my @SouthwestAir flight - 5 min  $10 cost difference  no change fees  nonstop. Comparedâ€_ https://t.co/oePEXQfX2G,0,4,en,,25126917,,,,negative
SouthwestAir,9.63808E+17,Wed Feb 14 16:13:25 +0000 2018,Flying on Valentineâ€™s Day has itâ€™s privileges. @SouthwestAir is doing Free Adult Beverage Day to celebrate!! ,0,4,en,,262450263,,,,positive
SouthwestAir,9.63807E+17,Wed Feb 14 16:05:51 +0000 2018,RT @CAIRSFBA: We sued @SouthwestAir today. They removed a college student from one of their flights because he was speaking Arabic. He's stâ€_,61,0,en,,312721737,,,,neutral
SouthwestAir,9.63806E+17,Wed Feb 14 16:05:33 +0000 2018,@united if you are going to do a modified @SouthwestAir check in system go all the way and copy it cause your curreâ€_ https://t.co/g4V63zKmCg,0,0,en,,237338977,,,,negative
SouthwestAir,9.63806E+17,Wed Feb 14 16:05:30 +0000 2018,RT @SacIntlAirport: It's Fat Tuesday! Planning a New Orleans get away is easier now than ever with @southwestairâ€™s new weekly nonstop flighâ€_,3,0,en,,138875555,,,,neutral
SouthwestAir,9.63806E+17,Wed Feb 14 16:03:23 +0000 2018,.@CAIRSFBA &amp; Walkup Melodia are suing @SouthwestAir for removing an Arabic-speaking passenger from one of their fliâ€_ https://t.co/KP8INOrMZI,0,0,en,,1575987223,,,,negative
