airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
SouthwestAir,963844826918612992,Wed Feb 14 18:38:08 +0000 2018,Please @SouthwestAir you give the greatest way for me to see my loved ones in MKE but driving to DEN is a pain. Mak… https://t.co/WSMm5cvVfv,0,0,en,,2970046005,,,
SouthwestAir,963810593936306176,Wed Feb 14 16:22:06 +0000 2018,RT @SouthwestAir: @BrianMayes Is that even possible? ^WB https://t.co/7aZo4g31ik,1,0,en,,41842642,,,
SouthwestAir,963810374561796096,Wed Feb 14 16:21:14 +0000 2018,@joelgagne @SouthwestAir Sorry we didn’t get to see you.  Next time I hope!!  ,0,0,en,963809866539290624,122976935,,,
SouthwestAir,963809919769235456,Wed Feb 14 16:19:26 +0000 2018,@SouthwestAir bringing the valentines fun in Indy!!!  Plus free drinks and candy- thanks!!!! https://t.co/99jy0pmEIK,0,0,en,,370206900,,,
SouthwestAir,963809866539290624,Wed Feb 14 16:19:13 +0000 2018,@judyastahl @SouthwestAir I was leaving Ohio...and not on my beloved 737!,0,0,en,963523130340859905,44003887,,,
SouthwestAir,963809511344689154,Wed Feb 14 16:17:48 +0000 2018,What’s the point of buying #BusinessSelect on @SouthwestAir when all of the front seats are always taken by preboar… https://t.co/5sIu1pHt01,0,1,en,,2909554712,,,
SouthwestAir,963809417069256704,Wed Feb 14 16:17:26 +0000 2018,Shoutouts to @SouthwestAir for making my #ValentinesDay a little SWEETER!  #myfavoriteairline #freegoodies https://t.co/zWb1kLXcm7,0,1,en,,34175038,US,Houston  TX,city
SouthwestAir,963809053158752257,Wed Feb 14 16:15:59 +0000 2018,All yellow everything @garyvee @SouthwestAir @canadadrycanada https://t.co/5rexdqBa6E,0,0,en,,26417826,,,
SouthwestAir,963808529298739200,Wed Feb 14 16:13:54 +0000 2018,@SouthwestAir Let them board first but they should be required to select seats in the rear of the plane as not to t… https://t.co/C8fjMC4TAV,0,0,en,963561036254134272,788472160998350848,,,
SouthwestAir,963808409400197120,Wed Feb 14 16:13:26 +0000 2018,What a difference changing my @SouthwestAir flight - 5 min  $10 cost difference  no change fees  nonstop. Compared… https://t.co/oePEXQfX2G,0,4,en,,25126917,,,
SouthwestAir,963808406116208648,Wed Feb 14 16:13:25 +0000 2018,Flying on Valentine’s Day has it’s privileges. @SouthwestAir is doing Free Adult Beverage Day to celebrate!! ,0,4,en,,262450263,,,
SouthwestAir,963806502803988480,Wed Feb 14 16:05:51 +0000 2018,RT @CAIRSFBA: We sued @SouthwestAir today. They removed a college student from one of their flights because he was speaking Arabic. He's st…,61,0,en,,312721737,,,
SouthwestAir,963806425012039680,Wed Feb 14 16:05:33 +0000 2018,@united if you are going to do a modified @SouthwestAir check in system go all the way and copy it cause your curre… https://t.co/g4V63zKmCg,0,0,en,,237338977,,,
SouthwestAir,963806413175664640,Wed Feb 14 16:05:30 +0000 2018,RT @SacIntlAirport: It's Fat Tuesday! Planning a New Orleans get away is easier now than ever with @southwestair’s new weekly nonstop fligh…,3,0,en,,138875555,,,
SouthwestAir,963805883565248512,Wed Feb 14 16:03:23 +0000 2018,.@CAIRSFBA &amp; Walkup Melodia are suing @SouthwestAir for removing an Arabic-speaking passenger from one of their fli… https://t.co/KP8INOrMZI,0,0,en,,1575987223,,,
