airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
AlaskaAir,967239262784520192,Sat Feb 24 03:26:25 +0000 2018,Husky fans  share your photos using the hashtag #WithTheDawgs for a chance to win a trip to the #Pac12WBB Tournamen… https://t.co/n1H6LBZT8y,2,2,en,,37716042,,,
AlaskaAir,967237575961276417,Sat Feb 24 03:19:43 +0000 2018,On an @AlaskaAir flight again. LA  I am visiting again.,0,0,en,,6842422,,,
AlaskaAir,967237506612654080,Sat Feb 24 03:19:26 +0000 2018,RT @tweetbypremier: Wine Flies Free with Alaska Airlines @AlaskaAir https://t.co/AKByKBnbtt https://t.co/z24KlNQSKl,3,0,en,,34702832,,,
AlaskaAir,967237325825585152,Sat Feb 24 03:18:43 +0000 2018,Cc: @AlaskaAir,0,0,und,967236505247801344,218670058,,,
AlaskaAir,967237105154891776,Sat Feb 24 03:17:50 +0000 2018,@DPouley @AlaskaAir Hmmm. Ts and Ps to your ass and fuck off.,0,0,en,967236943485554688,20174165,,,
AlaskaAir,967236943485554688,Sat Feb 24 03:17:12 +0000 2018,@BearFightDawg @AlaskaAir Vegas  baby  vegas.,0,1,en,967236737255682048,2228624310,,,
AlaskaAir,967236737255682048,Sat Feb 24 03:16:23 +0000 2018,@DPouley @AlaskaAir Where are you going? If you are going to somewhere like Omaha  Ts and Ps. If you are going to Hawaii  fuck off.,0,0,en,967230591153221632,20174165,,,
AlaskaAir,967236345419612161,Sat Feb 24 03:14:49 +0000 2018,@ToadsMaGoats @HawaiianAir @AlaskaAir Nooooooooo! That sucks I’m sorry. Are you guys in HI now??,0,0,en,967231407817830401,21157963,,,
AlaskaAir,967234496109068288,Sat Feb 24 03:07:28 +0000 2018,@ToadsMaGoats @HawaiianAir @AlaskaAir Did you make it to Hawaii?,0,1,en,967231407817830401,362115294,,,
AlaskaAir,967234093288079360,Sat Feb 24 03:05:52 +0000 2018,@Andrew_RBLX @AlaskaAir My bad I was meant to talk about the livery.,0,0,en,966823713902682113,67793729,,,
AlaskaAir,967233504894316544,Sat Feb 24 03:03:32 +0000 2018,@Staypineapple @AlaskaAir Boston,0,0,en,967110644603367429,36980520,,,
AlaskaAir,967232512316485632,Sat Feb 24 02:59:35 +0000 2018,Terrible first experience w/ @HawaiianAir waited 7 hrs just to be told our flight would be delayed another 12 hrs..… https://t.co/GVmmWEHEXa,0,1,en,,890430385,,,
AlaskaAir,967232509468557312,Sat Feb 24 02:59:35 +0000 2018,Hi @AlaskaAir! Love you. Love your social team. MVP all day. Sitting in flight 281 on the ground at SFO for almost… https://t.co/gASSWyIbwM,0,0,en,,3333355999,,,
AlaskaAir,967231584515645441,Sat Feb 24 02:55:54 +0000 2018,Our little traveler just joined her first frequent flyer program at @alaskaair! Thanks for the… https://t.co/N0bQkx7Gse,0,1,en,,16678441,US,Los Angeles  CA,city
AlaskaAir,967231407817830401,Sat Feb 24 02:55:12 +0000 2018,First experience with @HawaiianAir resulted in having to wait through 7 hours of status updates only to be told tha… https://t.co/qwx6A4Afde,0,0,en,,1327651356,,,
AlaskaAir,967231050609868800,Sat Feb 24 02:53:47 +0000 2018,RT @sarahktripp: @AlaskaAir is our go-to airliner for flying  especially within California! head on over to SRL today to read all about the…,2,0,en,,103050234,,,
AlaskaAir,967230591153221632,Sat Feb 24 02:51:57 +0000 2018,flight 604 out of Seattle was supposed to leave at 6:15 pm. At 6:47 we are still on the ground. Boarded the plane a… https://t.co/GxJkGS7ZC4,0,0,en,,2228624310,,,
AlaskaAir,967230563248627712,Sat Feb 24 02:51:51 +0000 2018,What can I say? We’re goofballs in social media at @AlaskaAir #iAmAlaska #lightscameraaction https://t.co/4UoXyTmiCw,0,5,en,,15265756,,,
AlaskaAir,967229615277146113,Sat Feb 24 02:48:05 +0000 2018,@sarahktripp @AlaskaAir Love it!,0,0,en,965619518486675458,15265756,,,
AlaskaAir,967229393230749696,Sat Feb 24 02:47:12 +0000 2018,@AlaskaAir Alaska Flight 744,0,0,en,967228778832449536,18011130,,,
AlaskaAir,967228599282540544,Sat Feb 24 02:44:02 +0000 2018,Awww @AlaskaAir  you disappoint. Late out of BOI again.,0,0,en,,19060446,,,
AlaskaAir,967228421708201984,Sat Feb 24 02:43:20 +0000 2018,@AlaskaAir Thanks for the reply. So are we waiting on passengers to arrive from a different flight? Typically fligh… https://t.co/VstRsUOK4s,0,0,en,967227601835167746,262068005,,,
AlaskaAir,967228023593304064,Sat Feb 24 02:41:45 +0000 2018,@AlaskaAir delayed over and over again - now have to change car rentals because of this mess :( ,0,0,en,,18011130,,,
AlaskaAir,967224986485145602,Sat Feb 24 02:29:41 +0000 2018,@AlaskaAir - any update on flight 281? All we’ve heard is something about passenger count being wrong.,0,0,en,,262068005,,,
AlaskaAir,967224846957596672,Sat Feb 24 02:29:08 +0000 2018,RT @shannonloftis: Still marvelling at this ... super busy airport  and the wonderful gate agent ran my phone down to security. @AlaskaAir…,1,0,en,,25881989,,,
AlaskaAir,967224809804333056,Sat Feb 24 02:28:59 +0000 2018,@shannonloftis @AlaskaAir Aw  yay - love hearing stories like this! Alaska is my favorite airline to fly  not just… https://t.co/Aerz1ym3or,0,3,en,967222844391239680,207409695,,,
AlaskaAir,967224564248928258,Sat Feb 24 02:28:00 +0000 2018,RT @sarahktripp: @AlaskaAir is our go-to airliner for flying  especially within California! head on over to SRL today to read all about the…,2,0,en,,13192972,,,
AlaskaAir,967224474251612160,Sat Feb 24 02:27:39 +0000 2018,@shannonloftis @AlaskaAir Buy a lottery ticket — that’s some luck they were so nice and nobody else nabbed it!,0,2,en,967064990615130113,14534467,,,
AlaskaAir,967223863468752896,Sat Feb 24 02:25:13 +0000 2018,@randizuckerberg @OfficialKat @AlaskaAir As a woman who gets some remarkably lewd comments  i can understand your a… https://t.co/FQUcifDMGv,0,0,en,936062601561116672,1528131961,,,
AlaskaAir,967223648149909504,Sat Feb 24 02:24:22 +0000 2018,@AlaskaAir @Alaskaair you just lost two MVP 75K customers; prior Virgin America Elite Gold.   Customer loyalty means nothing to you,0,0,en,967062514096680960,2285901853,,,
AlaskaAir,967223238655963136,Sat Feb 24 02:22:44 +0000 2018,@AlaskaAir I am in the air now — and it is great! Virgin has been my jam for years (5ft 10 and love the legroom). A… https://t.co/nhhjwDbTQZ,0,0,en,967221456814903302,27939593,,,
AlaskaAir,967222844391239680,Sat Feb 24 02:21:10 +0000 2018,Still marvelling at this ... super busy airport  and the wonderful gate agent ran my phone down to security.… https://t.co/ektSfmvPuJ,1,10,en,,22141633,,,
AlaskaAir,967221035979497472,Sat Feb 24 02:13:59 +0000 2018,@Staypineapple @AlaskaAir Boston!,0,0,en,967110644603367429,292886179,,,
