airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
AmericanAir,967239510244384768,Sat Feb 24 03:27:24 +0000 2018,RT @DallasSteeleXXX: Hey @AmericanAir  when did you start serving cake in economy? That’s reason enough to fly AA! DFW-PSP 2552 https://t.c…,36,0,en,,2957600586,,,
AmericanAir,967239239732727808,Sat Feb 24 03:26:19 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,3159884088,,,
AmericanAir,967239205377269760,Sat Feb 24 03:26:11 +0000 2018,A BIG thank you to @AmericanAir for making the compassionate decision to offer #vegan creamer in the #AdmiralsClubs… https://t.co/3m7Pi7pNKM,0,0,en,,3243568335,,,
AmericanAir,967238982743609345,Sat Feb 24 03:25:18 +0000 2018,@AmericanAir Well they were not. I won’t fly your airline again. I’d need some serious incentives.,0,0,en,967196849940680706,34040554,US,Miami  FL,city
AmericanAir,967238807081897985,Sat Feb 24 03:24:36 +0000 2018,@LATAMAirlinesUS @AmericanAir you guys need to get your shit together and find my luggage!!!!! Y’all are ridiculous.,0,0,en,,588062700,,,
AmericanAir,967238285046185989,Sat Feb 24 03:22:32 +0000 2018,@britishairways @British_Airways @AmericanAir Thanks @British_Airways for settling the claim. Would be happy if you… https://t.co/pv9fanRB9F,0,0,en,960015681709379584,230727994,,,
AmericanAir,967238149423484928,Sat Feb 24 03:21:59 +0000 2018,@mizzsmithtoyou @AmericanAir welcome to wrist,0,0,en,967188947028795392,99642751,US,Metairie  LA,city
AmericanAir,967237959266127872,Sat Feb 24 03:21:14 +0000 2018,@AmericanAir Go @AmericanAir! Replied to my tweet in 24 minutes. Awesome. Cited @AmericanAir from the @Adweek artic… https://t.co/25iqj5nK3O,0,0,en,967236878050185216,16107121,,,
AmericanAir,967237953138372608,Sat Feb 24 03:21:13 +0000 2018,It’s unbelievable how @AmericanAir and @MesaAirlines are completely mishandling flight 5789 from STL to DFW on 2/23… https://t.co/bFL85A8BUN,0,0,en,,2284484838,US,Lambert-St. Louis International Airport (STL),poi
AmericanAir,967237741825216513,Sat Feb 24 03:20:22 +0000 2018,@AmericanAir I feel like I deserve some miles or something,0,0,en,967236512755716097,18021161,,,
AmericanAir,967236836652404736,Sat Feb 24 03:16:46 +0000 2018,@AmericanAir It's on April 9th.,0,0,en,967236473811554304,27431986,,,
AmericanAir,967236796747845632,Sat Feb 24 03:16:37 +0000 2018,@AmericanAir Thanks for the reply. Why isn't American trying/ offering to take care of their AAdvantage members and customers?,0,0,en,967229338180554752,2335340473,US,West Lafayette  IN,city
AmericanAir,967236733153808384,Sat Feb 24 03:16:22 +0000 2018,@AmericanAir ✌,0,0,und,967141388126126080,6392972,US,Brooklyn  NY,city
AmericanAir,967236659283726336,Sat Feb 24 03:16:04 +0000 2018,Everyone flight I had on this trip was delayed...get it together @AmericanAir,0,1,en,,35008759,,,
AmericanAir,967235923975995396,Sat Feb 24 03:13:09 +0000 2018,@AmericanAir #liars #badcustomerservice,0,0,und,,94676775,,,
AmericanAir,967235911263105024,Sat Feb 24 03:13:06 +0000 2018,|RT @SecretFlying: **PRICE DROP** New York to Kahului  Hawaii (&amp; vice versa) for only $478 roundtrip with @AmericanAir.

https://t.co/qbWBu6…|,9,0,en,,166904631,,,
AmericanAir,967235881655468033,Sat Feb 24 03:12:59 +0000 2018,@AmericanAir I will....if that ever actually happens.,0,0,en,967235694300205056,32247803,US,Nashville  TN,city
AmericanAir,967235474724093952,Sat Feb 24 03:11:22 +0000 2018,@AmericanAir This is ridiculous!!!,0,0,en,967235312538783745,824497567,,,
AmericanAir,967235204245987330,Sat Feb 24 03:10:17 +0000 2018,@AmericanAir so disappointed with my experience today.,0,0,en,,3193625618,,,
AmericanAir,967235094154043392,Sat Feb 24 03:09:51 +0000 2018,@AmericanAir Unfortunately  it was a completely full flight so there was nothing the crew members could do.,0,0,en,967203029328986112,202217309,,,
AmericanAir,967234709750239233,Sat Feb 24 03:08:19 +0000 2018,@colindonnell @AmericanAir @DCComics Dude  you are REAL safe!,0,0,en,967068929796517889,2506072280,,,
AmericanAir,967234678435598336,Sat Feb 24 03:08:12 +0000 2018,Delay number 9! @AmericanAir,0,0,en,,32247803,US,Nashville  TN,city
AmericanAir,967234636656070658,Sat Feb 24 03:08:02 +0000 2018,|RT @colindonnell: Our Captain  Michael  on this @AmericanAir flight is wearing matching #Batman lanyard &amp; socks. 

We are in good hands. @D…|,9,0,en,,2506072280,,,
AmericanAir,967234586752233472,Sat Feb 24 03:07:50 +0000 2018,I wonder if I filed everything weird thing that has happened to me while traveling on @AmericanAir would they liste… https://t.co/3CEKo9i2LW,0,0,en,,26931115,,,
