airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
Delta,967239545115865088,Sat Feb 24 03:27:32 +0000 2018,@chrisbearman @Delta @Medallions4Good @iamtriplejay @Spacewaitres @airlineguys @Akhil_Anumolu @BCRFcure Let’s just… https://t.co/DKsPB2IKdE,0,0,en,967238403161862144,52313360,US,Hartsfield-Jackson Atlanta International Airport (ATL),poi
Delta,967239046694080512,Sat Feb 24 03:25:33 +0000 2018,@Delta Patiently waiting.....,0,0,en,967229162808164353,28899438,,,
Delta,967238923008249856,Sat Feb 24 03:25:04 +0000 2018,@Delta horrible travel week with Delta ending with another delay in ATL because of “mechanical issues” pilot broke… https://t.co/bTyrFOEP6r,0,0,en,,2627409189,,,
Delta,967238839113781248,Sat Feb 24 03:24:44 +0000 2018,@RobertLauf @united Only fly @Delta,0,0,en,967237366606802944,19658813,,,
Delta,967238822533746694,Sat Feb 24 03:24:40 +0000 2018,RT @MadalineMiya: Lol @Delta has been the biggest joke today. I was supposed to fly today but the windshield of our plane cracked. They fix…,1,0,en,,961046536636465152,,,
Delta,967238596364328961,Sat Feb 24 03:23:46 +0000 2018,RT @NateMJensen: These stories missed all of the other sponsors. For example  @united and @Delta are offering NRA flight discounts for thei…,2,0,en,,1296010872,,,
Delta,967238559907409921,Sat Feb 24 03:23:37 +0000 2018,@airfrance @Delta  This is wild. Can you help handle this? It shouldn't take this much of my time to get something… https://t.co/rj5A4PTvDd,0,0,en,967015598537543680,963861291084500993,,,
Delta,967238433868427264,Sat Feb 24 03:23:07 +0000 2018,Hi @Delta at LAX departures and arrivals you have people in here with blankets and goose down jackets on maybe cut the heater on?,0,0,en,,16972072,,,
Delta,967238403161862144,Sat Feb 24 03:23:00 +0000 2018,@barnerjones @Delta @Medallions4Good @iamtriplejay @Spacewaitres @airlineguys @Akhil_Anumolu @BCRFcure How did you… https://t.co/xoNrIhdVMv,0,1,en,962453303731937281,29458072,,,
Delta,967238270064234496,Sat Feb 24 03:22:28 +0000 2018,Wtf @united. #designflaw #whosideawasthis #notafan #wheresmydeltaflight @Delta https://t.co/1Wi0WwdQ6E,0,0,und,,490967566,,,
Delta,967238062244794368,Sat Feb 24 03:21:39 +0000 2018,Litterally get to my gate 10 minutes early and your planes already left... seriously @Delta,0,0,en,,3327717778,,,
