airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
SouthwestAir,967239620378398720,Sat Feb 24 03:27:50 +0000 2018,RT @Barbi_Twins: Southwest airlifts 62 puppies and kittens out of hurricane-hit Puerto Rico (Thank you @SouthwestAir! So many stranded pets…,64,0,en,,30447678,,,
SouthwestAir,967239554460631040,Sat Feb 24 03:27:34 +0000 2018,RT @POWERATL: Listen to win your passes to see @whydontwemusic live on the @SouthwestAir Soundstage all this week at 4:30pm with @MaddoxRad…,65,0,en,,859628147897245696,,,
SouthwestAir,967239508281450497,Sat Feb 24 03:27:23 +0000 2018,RT @Pacers: @Dsabonis11 @GRIII @StephensonLance @SouthwestAir @PacersBoomer Lance marshals a @SouthwestAir flight into @INDairport (and fin…,89,0,en,,2163838652,,,
SouthwestAir,967238857946161152,Sat Feb 24 03:24:48 +0000 2018,Thank you @SouthwestAir for the gift!! I look forward to using it for future endevours. You guys are the best! https://t.co/f20NTm3MA4,0,0,en,,35393244,,,
SouthwestAir,967238256327839744,Sat Feb 24 03:22:25 +0000 2018,help ya girl out @POWERATL @5SOS @SouthwestAir #SoundStage https://t.co/gHgVydl1Hf,0,0,en,,2996832159,,,
SouthwestAir,967238073577824257,Sat Feb 24 03:21:41 +0000 2018,@SouthwestAir - you need to fix the reboard process  Houston to Panama City  re-boarding was an unmitigated disaste… https://t.co/ZGa5EU3Qr5,0,0,en,,2189590129,,,
SouthwestAir,967237616524443648,Sat Feb 24 03:19:52 +0000 2018,RT @tweetbypremier: Southwest increases Priority Boarding Fees @SouthwestAir https://t.co/gPxjThB9Ar https://t.co/5IosNW16Xe,1,0,en,,34702832,,,
SouthwestAir,967237544558628864,Sat Feb 24 03:19:35 +0000 2018,@SouthwestAir Okay! I definitely will! Thank you and thanks for convincing me to still go to Dallas!  ,0,0,en,967236799872475136,207840062,,,
SouthwestAir,967236719132033024,Sat Feb 24 03:16:18 +0000 2018,@SouthwestAir Thanks....done!,0,0,en,967234092092633088,16163790,,,
SouthwestAir,967236265417498624,Sat Feb 24 03:14:30 +0000 2018,@SouthwestAir @TR411 You know very well that "therapy animals" have as much training as a bariatric patient does at… https://t.co/iB6CrVXvmp,0,0,en,966563490621042688,824890705898147840,,,
SouthwestAir,967236121032888321,Sat Feb 24 03:13:56 +0000 2018,Why @SouthwestAir picked Denver as its next nonstop flight from CVG https://t.co/rllM1XHhlb from @BusinessCourier https://t.co/6a1XRsyeiW,0,1,en,,16102208,,,
SouthwestAir,967236091320287232,Sat Feb 24 03:13:49 +0000 2018,RT @waIIflowerhes: I just entered to win access to the @5SOS @SouthwestAir #SoundStage https://t.co/H81RyDHyaP,1,0,en,,2890794913,,,
SouthwestAir,967235898856353793,Sat Feb 24 03:13:03 +0000 2018,@SouthwestAir @CallMeBHatch Join the club of people screwed over by southwests increasingly poor performance. #southworst,0,0,en,967235081533243392,383066391,,,
SouthwestAir,967235805423923200,Sat Feb 24 03:12:41 +0000 2018,@JanetlJohnson4 @TR411 @SouthwestAir They are NOT service dogs you idiot. Zero training is required... just a note.,0,0,en,966679010355761154,4264098913,,,
SouthwestAir,967235548200034304,Sat Feb 24 03:11:39 +0000 2018,I just entered to win access to the @5SOS @SouthwestAir #SoundStage https://t.co/H81RyDHyaP,1,1,en,,2369376380,,,
SouthwestAir,967234903233327104,Sat Feb 24 03:09:05 +0000 2018,@southwestair you know damn well "trained animals" means nothing. Anyone can get a "certificate" online. Help STOP… https://t.co/c5ke2leKYO,0,0,en,,824890705898147840,,,
SouthwestAir,967234628506607617,Sat Feb 24 03:08:00 +0000 2018,@SouthwestAir And you spelled my name right!!  #CustomerForLife  #EverySeatHasAStory,0,0,en,967233927881490432,164829226,,,
SouthwestAir,967234627676012544,Sat Feb 24 03:08:00 +0000 2018,|RT @seaveysheart: I just entered to win access to the @whydontwemusic @southwestair #soundstage https://t.co/Z7LO5nr379 

Use this link to…|,5,0,en,,880113647749652485,,,
SouthwestAir,967234548428935171,Sat Feb 24 03:07:41 +0000 2018,.@southwestair  is there coverage for damaged bags?? https://t.co/fe7OKCxvni,0,0,en,,72729200,,,
SouthwestAir,967234526106693632,Sat Feb 24 03:07:36 +0000 2018,@SouthwestAir Flight 425. Thanks for the quick response. Was telling the passengers you're great on social media. ,0,0,en,967234136950824960,36804418,US,Oakland  CA,city
SouthwestAir,967234401305317376,Sat Feb 24 03:07:06 +0000 2018,|@SouthwestAir I waited 32 minutes for A question that took 1 minute to answer.
Ridiculous!!|,0,0,en,967233190195703808,808895270423527425,US,Irving  TX,city
SouthwestAir,967234368371642369,Sat Feb 24 03:06:58 +0000 2018,@SouthwestAir New planes with boarding music now? And the neon lighting? The passengers are talking up a storm – al… https://t.co/vSvCcYUnEq,0,0,en,,15504072,,,
SouthwestAir,967233570619215872,Sat Feb 24 03:03:48 +0000 2018,@SouthwestAir Ok you can be my favorite again. I mean you don’t beat your passengers off a plane so there’s that  b… https://t.co/eWV4azcIyJ,0,0,en,967176131123163136,2586677802,,,
SouthwestAir,967233552541732864,Sat Feb 24 03:03:43 +0000 2018,@SouthwestAir Are UM’s being allowed to fly on 5784 Aus/Dal,0,0,en,,142124326,,,
SouthwestAir,967233526100844545,Sat Feb 24 03:03:37 +0000 2018,@amylynne914 @SouthwestAir Hope and pray a flight attendant didn't keep it for themselves.,0,0,en,967230574044831744,21775310,,,
SouthwestAir,967233013171081216,Sat Feb 24 03:01:35 +0000 2018,I just entered to win access to the @5SOS @SouthwestAir #SoundStage https://t.co/M3Isq2DjFu,0,0,en,,717891758722457601,,,
SouthwestAir,967232929486155777,Sat Feb 24 03:01:15 +0000 2018,Another #%^*ed up day for @SouthwestAir out of Burbank. Now delayed 3 hours+. No explanation of course. I’ve racked… https://t.co/sOMxa8bSSa,0,0,en,,60718419,US,Burbank  CA,city
SouthwestAir,967232783214137345,Sat Feb 24 03:00:40 +0000 2018,RT @liljfooseball: @RamsNFL should have flown @SouthwestAir...bags fly free and he has a lot of baggage.,3,0,en,,255128740,,,
SouthwestAir,967232752767598593,Sat Feb 24 03:00:33 +0000 2018,@SouthwestAir Thank you!,0,0,en,967229500441354240,778763907846463488,,,
SouthwestAir,967232425280581634,Sat Feb 24 02:59:15 +0000 2018,@SouthwestAir Sure  I get that  I'm not asking for you to confirm my flight status. I'm asking:  why are you guys m… https://t.co/QNESSIXFAq,0,0,en,967230975330496513,158072303,,,
SouthwestAir,967232352261779457,Sat Feb 24 02:58:57 +0000 2018,@SouthwestAir Hello SFO and thank you @SouthwestAir for amazing customer service!,0,0,en,967211847173591040,45399731,,,
SouthwestAir,967232314643120129,Sat Feb 24 02:58:48 +0000 2018,@crankyflier @SouthwestAir Re read your post from a few years back on southwest boarding.... no answer there... cou… https://t.co/7xhxZ7dzlp,0,0,en,967231308991676416,330049498,US,Phoenix  AZ,city
SouthwestAir,967232263950880771,Sat Feb 24 02:58:36 +0000 2018,@SouthwestAir Okay  so where is a good taco place in Dallas? I'm counting on you to recommend the best place!,0,0,en,967231212099022848,207840062,,,
SouthwestAir,967232161396023297,Sat Feb 24 02:58:12 +0000 2018,@SouthwestAir Superstar Mary Kat on flight #5827 to ORF tonight  “Please let a flight attendant know if you are una… https://t.co/q2PT6QzWHM,0,0,en,,33768557,,,
SouthwestAir,967231425954140160,Sat Feb 24 02:55:16 +0000 2018,RT @redbandanaafi: I NEED THIS SO BAD!!! @POWERATL I just entered to win access to the @5SOS @SouthwestAir #SoundStage https://t.co/jOQGkhR…,3,0,en,,115706567,,,
SouthwestAir,967231394069012480,Sat Feb 24 02:55:09 +0000 2018,@CallMeBHatch @SouthwestAir @Delta Smh. Y'all are gonna learn to fly @Delta... it's the home team ,0,0,en,967206287841865728,30799927,,,
SouthwestAir,967231317304754178,Sat Feb 24 02:54:50 +0000 2018,@SouthwestAir - any reason why a lot of your flights out of Oakland are delayed/canceled? ☹️#SpendinGWayTooLongAtAnAirportOnAFriday,0,0,en,,36804418,US,Oakland  CA,city
SouthwestAir,967231308991676416,Sat Feb 24 02:54:49 +0000 2018,@newyorkmetz12 @SouthwestAir Weird  not sure,0,0,en,967230443425693696,19381755,,,
SouthwestAir,967231231212576769,Sat Feb 24 02:54:30 +0000 2018,@SouthwestAir Didnt realize there were other airlines out there!! Southwest exceeds expectations every trip!!!,0,0,en,967128967764353024,924440430460198912,,,
SouthwestAir,967231191173746688,Sat Feb 24 02:54:20 +0000 2018,RT @latinoreel: All looks great at @NHMC #ImpactAwards dinner in Beverly Hills. Thanks to @SouthwestAir for its sponsorship of event and op…,2,0,en,,21457771,,,
SouthwestAir,967231110261469185,Sat Feb 24 02:54:01 +0000 2018,@SouthwestAir ....,0,0,und,967211325146382336,697639040552734721,,,
SouthwestAir,967230751556030464,Sat Feb 24 02:52:36 +0000 2018,@SouthwestAir Hi there...I left a black coat on our plane today in San Diego. We flew from Phoenix to SAN  flight… https://t.co/RVTAkBGCV1,0,0,en,,16163790,,,
