airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
united,967239465939951617,Sat Feb 24 03:27:13 +0000 2018,On my @united flight right now--the amazing flight attendant is calling people out as they try to put both roller a… https://t.co/8dcNkMOBHO,0,0,en,,25112718,,,
united,967239239732727808,Sat Feb 24 03:26:19 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,3159884088,,,
united,967238839113781248,Sat Feb 24 03:24:44 +0000 2018,@RobertLauf @united Only fly @Delta,0,0,en,967237366606802944,19658813,,,
united,967238688223588354,Sat Feb 24 03:24:08 +0000 2018,|☆Reception partyのお知らせ☆

@UNITED  cafe 東京都世田谷区野沢4-4-8
time 19:00-23:00
door ¥500（1drink）

DJ timetable
19:00-21:00 M… https://t.co/HSmt8h6U9P|,0,0,ja,,893780428435226624,,,
united,967238608653402117,Sat Feb 24 03:23:49 +0000 2018,|☆Reception partyのお知らせ☆

明日2/25日はユリ展 Reception partyです。
ミューズの山田由梨さんも来場予定！
音楽とともに、楽しく盛り上がりましょう！
キャッシュオンでのfood menuもあり… https://t.co/opAzw5V2Uu|,0,0,ja,,893780428435226624,,,
united,967238596364328961,Sat Feb 24 03:23:46 +0000 2018,RT @NateMJensen: These stories missed all of the other sponsors. For example  @united and @Delta are offering NRA flight discounts for thei…,2,0,en,,1296010872,,,
united,967238270064234496,Sat Feb 24 03:22:28 +0000 2018,Wtf @united. #designflaw #whosideawasthis #notafan #wheresmydeltaflight @Delta https://t.co/1Wi0WwdQ6E,0,0,und,,490967566,,,
united,967237743620317184,Sat Feb 24 03:20:23 +0000 2018,@united there are 3 bitches on flight 244 from Asheville to Newark who are grifters at best,0,0,en,,474696358,,,
united,967237643737038849,Sat Feb 24 03:19:59 +0000 2018,@united breaks guitars and loses luggage and doesn’t care that vacation is planne. Unbelievable,0,0,en,,284103039,,,
united,967237599323742209,Sat Feb 24 03:19:48 +0000 2018,|RT @united: Name that airport!

(Hint: Window seats on flights out are a bridge to good views ) https://t.co/fFU7dLaGEa|,47,0,en,,2497793796,,,
united,967237368615878657,Sat Feb 24 03:18:53 +0000 2018,@FlyAirNZ Just traveled on @united and @Aeromexico and they have sooooo much to learn from @FlyAirNZ - especially in customer service!,0,0,en,967234931284955137,34742971,US,California  USA,admin
united,967237366606802944,Sat Feb 24 03:18:53 +0000 2018,|Dear .@united:
As a best practice  please do not close the boarding door 20 minutes before a flights departure time… https://t.co/laVQtEVP0g|,0,0,en,,75854386,,,
united,967236253157658624,Sat Feb 24 03:14:27 +0000 2018,@united not sure how it happened someone GRABBED my 1st  CLASS ticket and I am not in my seat I paid for. Would love to know how u can talk,0,0,en,,104383330,,,
united,967235545456820224,Sat Feb 24 03:11:39 +0000 2018,Embarrassing for @united that I plan on their flights being delayed now. #atleastimnotsurprised #msp #sfo,0,0,en,,763038237795426306,,,
united,967235264568467456,Sat Feb 24 03:10:32 +0000 2018,@united will you ever standardize what's in personal device entertainment from Plane to Plane? I'm just trying to binge #billions,0,1,en,,22952939,,,
united,967235120997588993,Sat Feb 24 03:09:57 +0000 2018,RT @MeganOBsports: Flying @united airlines is honestly worse than flying Spirit. Not even close to a full flight. I have one backpack and o…,8,0,en,,4584408333,,,
united,967234640745447424,Sat Feb 24 03:08:03 +0000 2018,@starbuxman @united That is insanity  now I feel even worse for not haking these few blocks to see you when you actually were in town!,0,0,en,967183933413756928,6697972,,,
united,967234626723950602,Sat Feb 24 03:08:00 +0000 2018,RT @united: The Emancipation Proclamation is only available for public viewing for a limited time due to its fragility. We were honored to…,41,0,en,,241266878,,,
united,967234290038829056,Sat Feb 24 03:06:39 +0000 2018,.@united thanks for the heart attack and $70 rush to Newark. #YoureTheWorst #FlyUnited #DontFlyUnited https://t.co/RZwVvT6umD,0,0,en,,241701740,,,
united,967234277480923136,Sat Feb 24 03:06:36 +0000 2018,Shoutout to @united for sending my bag to the wrong airport AND putting someone else’s name on it. If anyone knows… https://t.co/86bnscWHcm,0,1,en,,284255522,US,Colorado  USA,admin
united,967234075122548737,Sat Feb 24 03:05:48 +0000 2018,RT @AMATravel: This @united pilot flew the extra mile to hand deliver a lost engagement ring to its rightful owner: https://t.co/BzCxvnBNsx…,1,0,en,,884032796590841856,,,
united,967233910189903877,Sat Feb 24 03:05:09 +0000 2018,Poor @united ... they just can’t get much right lately  can they? As a frequent flyer I don’t mind checking a carry… https://t.co/w4CFmJ1Pjg,0,0,en,,8454142,US,Colorado  USA,admin
united,967233181077340160,Sat Feb 24 03:02:15 +0000 2018,@united delayed 10 hours? That means the flight is going out tomorrow. Sure sounds like a cancellation to me https://t.co/wKovpl4Eo6,0,0,en,,231649194,,,
united,967232831511461888,Sat Feb 24 03:00:52 +0000 2018,@united #ksfo ,0,0,und,967074103483084800,926567492692185088,,,
united,967232511431663616,Sat Feb 24 02:59:35 +0000 2018,.@united Takes me 8 hours to go from Austin to Baton Rouge.  And now delayed again.  I literally could have driven.  #neveragain,0,0,en,,309453805,,,
united,967232458243694593,Sat Feb 24 02:59:23 +0000 2018,@united u got your people to shove me off a flight to my family’s hometown because I like men and not women  #PITvsCAR,0,0,en,,474696358,,,
united,967232071419777024,Sat Feb 24 02:57:50 +0000 2018,How do you ‘delay’ a flight until tomorrow @united ? It was supposed to leave at 5:12. The crew times out at 1am. Y… https://t.co/NboNezq9p0,0,0,en,,47093036,,,
united,967231857782939648,Sat Feb 24 02:56:59 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,1286870364,,,
united,967231743353937925,Sat Feb 24 02:56:32 +0000 2018,@united accepts anti gay bitch moms and their sisters before they accept gays,0,0,en,,474696358,,,
united,967231667466317824,Sat Feb 24 02:56:14 +0000 2018,Choosing to travel with @united has to be the worst decision I’ve made in a while,0,1,en,,1299957146,,,
united,967231110320181248,Sat Feb 24 02:54:01 +0000 2018,Now THIS is a surprise.  Thank you @united for paying for my dinner! https://t.co/72j2YwioLa,0,1,en,,78039844,,,
united,967230850998906880,Sat Feb 24 02:52:59 +0000 2018,@united SFO!  Loved living there!!  #PresidioHeights,0,0,en,967074103483084800,74877783,US,Edmond  OK,city
united,967230549726085120,Sat Feb 24 02:51:47 +0000 2018,@united SFO  Baby!,0,0,en,967074103483084800,142467642,,,
united,967230007314612229,Sat Feb 24 02:49:38 +0000 2018,La peor experiencia con una aerolínea? Pues con @united!!! Malos aviones  mala actitud de su equipo de trabajo y pe… https://t.co/FkNxNDgC3p,0,0,es,,26943375,,,
united,967229736505163776,Sat Feb 24 02:48:34 +0000 2018,@united The site kept crashing. I can send you confirmation shortly,0,0,en,967208653441740800,328111906,,,
united,967229541755342848,Sat Feb 24 02:47:47 +0000 2018,|RT @united: Name that airport!

(Hint: Window seats on flights out are a bridge to good views ) https://t.co/fFU7dLaGEa|,47,0,en,,38249324,,,
united,967229234560294917,Sat Feb 24 02:46:34 +0000 2018,RT @united: The Emancipation Proclamation is only available for public viewing for a limited time due to its fragility. We were honored to…,41,0,en,,839536676,,,
united,967228963797000193,Sat Feb 24 02:45:29 +0000 2018,|Next stop...London  

@united #polaris https://t.co/ycpMiLglKT|,0,0,en,,126720611,,,
united,967228862089310215,Sat Feb 24 02:45:05 +0000 2018,This @united pilot flew the extra mile to hand deliver a lost engagement ring to its rightful owner:… https://t.co/BJO9mgtMOh,1,1,en,,25327696,,,
united,967228531464966144,Sat Feb 24 02:43:46 +0000 2018,@SHD_Airport @SVPartnership @united Excellent presentation! Well done @SVPartnership and especially excited for all… https://t.co/mxJvQRKvz5,0,0,en,967133158666915840,2290166502,,,
united,967228488389406720,Sat Feb 24 02:43:36 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,2947274513,,,
united,967228286748315649,Sat Feb 24 02:42:48 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,609987201,,,
united,967228058523635712,Sat Feb 24 02:41:54 +0000 2018,|RT @SecretFlying: Non-stop from New York to Aguadilla  Puerto Rico for only $180 roundtrip with @united.

https://t.co/oTdFNz8K23 https://t…|,18,0,en,,23778748,,,
united,967227764276330496,Sat Feb 24 02:40:43 +0000 2018,RT @GeminiJets: NEW ARRIVAL! @GeminiJets 1:400-scale @united @Boeing @BoeingAirplanes 747-400 N121UA "747 Friend Ship " item GJUAL1741. See…,1,0,en,,758761041652318208,,,
united,967227742449209344,Sat Feb 24 02:40:38 +0000 2018,@united No doubt  SFO. Landed twice this week aboard UA flight,0,0,en,967074103483084800,25670839,,,
united,967226902510370816,Sat Feb 24 02:37:18 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,191862539,,,
united,967226858625380354,Sat Feb 24 02:37:07 +0000 2018,ICYMI: Here’s the story on the trailblazers @united that were celebrated this week @DENAirport: https://t.co/htKZXP9LEb #BlackHistoryMonth,0,0,en,967205384745377792,43820561,US,Denver  CO,city
united,967226486913732608,Sat Feb 24 02:35:39 +0000 2018,And where the hell was my notification email about a gate change @united????,0,0,en,967225859823276033,95245130,,,
united,967226143647477760,Sat Feb 24 02:34:17 +0000 2018,@united Done!,0,0,en,967177089366372352,54987333,,,
united,967225859823276033,Sat Feb 24 02:33:09 +0000 2018,Thanks a lot @united for switching gates to a whole other terminal at Ohare....15 minutes before boarding.... after… https://t.co/stnANubLJD,0,0,en,,95245130,,,
united,967225708572545024,Sat Feb 24 02:32:33 +0000 2018,|RT @SecretFlying: Non-stop from Chicago to San Francisco (&amp; vice versa) for only $116 roundtrip with @united.

https://t.co/88rD5NPu1b http…|,5,0,en,,393168990,,,
united,967225092919803905,Sat Feb 24 02:30:06 +0000 2018,|RT @SecretFlying: Non-stop from Chicago to San Francisco (&amp; vice versa) for only $116 roundtrip with @united.

https://t.co/88rD5NPu1b http…|,5,0,en,,36599249,,,
united,967225057805258753,Sat Feb 24 02:29:58 +0000 2018,|RT @SecretFlying: Non-stop from Chicago to San Francisco (&amp; vice versa) for only $116 roundtrip with @united.

https://t.co/88rD5NPu1b http…|,5,0,en,,104336291,,,
united,967225024322199552,Sat Feb 24 02:29:50 +0000 2018,@AirCanada @united Received my delayed luggage today after 7 days. Opened it up to find my MacBook gone from an ins… https://t.co/OgqlHloVLH,0,0,en,,40962817,,,
united,967224638202961920,Sat Feb 24 02:28:18 +0000 2018,|RT @SecretFlying: Non-stop from New York to Aguadilla  Puerto Rico for only $180 roundtrip with @united.

https://t.co/oTdFNz8K23 https://t…|,18,0,en,,17400407,,,
united,967224548390252546,Sat Feb 24 02:27:57 +0000 2018,|RT @SecretFlying: Non-stop from Chicago to San Francisco (&amp; vice versa) for only $116 roundtrip with @united.

https://t.co/88rD5NPu1b http…|,5,0,en,,23725720,,,
united,967224547425517568,Sat Feb 24 02:27:56 +0000 2018,RT @united: With over 320 destinations to choose from  make your friends jealous one flight at a time.,349,0,en,,2962404557,,,
united,967224310451630080,Sat Feb 24 02:27:00 +0000 2018,Thank for @united for all those great memories  not only with the Queens  but also everything.… https://t.co/EP0g6uZ8HT,0,0,en,,2765056458,,,
united,967224306248900608,Sat Feb 24 02:26:59 +0000 2018,@MovieMinuteMike @united how fun!!!!!!,0,0,en,967212343858999299,15236418,,,
united,967224302004301824,Sat Feb 24 02:26:58 +0000 2018,|Non-stop from Chicago to San Francisco (&amp; vice versa) for only $116 roundtrip with @united.

https://t.co/88rD5NPu1b https://t.co/LQcJk0KC6G|,5,12,en,,2758345674,,,
united,967224125059162113,Sat Feb 24 02:26:16 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,2197443265,,,
united,967223936583745537,Sat Feb 24 02:25:31 +0000 2018,@united SFO looking southwest,0,0,en,967074103483084800,712304835899449346,,,
united,967223877544828928,Sat Feb 24 02:25:17 +0000 2018,@united everyone warned about you  and now I've experienced your atrocious #CustomerService first hand. Can't even… https://t.co/exIOJPx8L7,0,0,en,,75878695,,,
united,967223754643427334,Sat Feb 24 02:24:47 +0000 2018,|RT @SecretFlying: Non-stop from New York to Aguadilla  Puerto Rico for only $180 roundtrip with @united.

https://t.co/oTdFNz8K23 https://t…|,18,0,en,,3311948668,,,
united,967223677568856064,Sat Feb 24 02:24:29 +0000 2018,5 hour delay at Newark(thanks @united) and I randomly was sitting next to @FrannieMarie184 and Method Man. I asked… https://t.co/xYWx6FEYfm,0,2,en,,93782375,,,
united,967223210583392256,Sat Feb 24 02:22:38 +0000 2018,Thank you @united for such great treatment and accommodation of the @jazzdotorg Youth Orchestra in their trip to #London,0,0,en,,3857763322,,,
united,967223111027486720,Sat Feb 24 02:22:14 +0000 2018,Lol when @united thinks snacks and mini bottles of water make up for a two and a half hour delay.,0,2,en,,52599673,,,
united,967222819967741952,Sat Feb 24 02:21:05 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,832139011955138562,,,
united,967222734953558016,Sat Feb 24 02:20:44 +0000 2018,@united Too easy @mssmendell,0,0,en,967074103483084800,148090460,,,
united,967222651566436352,Sat Feb 24 02:20:24 +0000 2018,The Helena Regional Airport says @united will add a second daily flight from #HelenaMT to Denver starting in June.… https://t.co/LrKxVQ0oFw,0,0,en,,484556104,,,
united,967222618742026240,Sat Feb 24 02:20:17 +0000 2018,@united No I did not but I made it out safe and well. Thank you for reaching out.,0,0,en,967178816840810496,455431154,,,
united,967222319742685184,Sat Feb 24 02:19:05 +0000 2018,RT @united: @tabsatpetcopark We don't want you to feel uncomfortable on board  Tabs. Have you been able to speak with a flight attendant? ^…,1,0,en,,455431154,,,
united,967221920218435585,Sat Feb 24 02:17:30 +0000 2018,|RT @SecretFlying: Non-stop from New York to Aguadilla  Puerto Rico for only $180 roundtrip with @united.

https://t.co/oTdFNz8K23 https://t…|,18,0,en,,125638405,,,
united,967221652072345600,Sat Feb 24 02:16:26 +0000 2018,@united San Francisco,0,0,es,967074103483084800,459846475,US,San Antonio  TX,city
united,967221415198904321,Sat Feb 24 02:15:30 +0000 2018,@united SFO,0,0,und,967074103483084800,3260961,,,
united,967221206033272834,Sat Feb 24 02:14:40 +0000 2018,@kaliemarsch @united @JetBlue @AmericanAir 45 spent today bragging about himself &amp; calling immigrants-which is virt… https://t.co/A6nUO7qmHR,0,0,en,966110896027291651,1479867775,,,
united,967220629068972032,Sat Feb 24 02:12:22 +0000 2018,@united SFO !  Be there on Monday from EWR  heading to SYD! 757 &amp; 787 lay down comfort! Sleep like a baby!!,0,1,en,967074103483084800,3088020640,,,
united,967220578212917249,Sat Feb 24 02:12:10 +0000 2018,RT @kaliemarsch: Over 100 employees from @united  @JetBlue and @AmericanAir showed their support by attending the funeral for Gina Rose Mon…,714,0,en,,213400597,,,
united,967220285266161669,Sat Feb 24 02:11:00 +0000 2018,@BSForgery @jonjuhanlung @united @Boeing Heck yes!  I'd buy an autographed something-or-another!,0,2,en,967220117221322753,789960817433128961,,,
united,967220233910890496,Sat Feb 24 02:10:48 +0000 2018,|RT @united: Name that airport!

