airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
united,963795272538251265,Wed Feb 14 15:21:14 +0000 2018,@united You still SUCK!,0,0,en,963756635083730945,1307870724,,,
united,963795113041260550,Wed Feb 14 15:20:36 +0000 2018,|* the wifi is PAINFULLY slow
* this flights had an 8:40am departure and they ran out of breakfast options 1/4 of th… https://t.co/W1yelF5Ga9|,0,4,en,963794150167494656,26321411,,,
united,963794978823659521,Wed Feb 14 15:20:04 +0000 2018,Thanks @united for charging me $200 to cancel my flight so I can stay home this weeknd and plan my aunts funeral.,0,0,en,,46645826,,,
united,963794950772080641,Wed Feb 14 15:19:57 +0000 2018,Hi  @united ! Thanks for the subtle greeting. It is greatly appreciated. Happy Ballantyne's Day to you  too! - Your… https://t.co/CGXDcK0Osa,0,0,en,,2152510158,,,
united,963794424877723648,Wed Feb 14 15:17:51 +0000 2018,|Business travel to a vacation destination = chaos and no @TSA pre service 

Lookin at you  #MIA @united airport|,0,0,en,,27720562,,,
united,963794303343579136,Wed Feb 14 15:17:23 +0000 2018,Have you ever seen an espresso machine in an airplane?✈ We encountered this on a @united flight from London to NYC!… https://t.co/s6jpoasafE,4,14,en,,921094284,,,
united,963794294854135808,Wed Feb 14 15:17:20 +0000 2018,|RT @TomPodolec: @united @flightradar24 Update 
United #UA1175 from San Francisco declared emergency  pilot sounds tense  requesting emergen…|,159,0,en,,18220818,,,
united,963794248683474944,Wed Feb 14 15:17:09 +0000 2018,We'll beat you senseless  we'll kill your rabbit  and then we'll make you prepare for death as we fly you over the… https://t.co/r6y8ARGRgm,0,0,en,,756640612363874304,,,
united,963793937327521793,Wed Feb 14 15:15:55 +0000 2018,wow I've flown @delta so much recently that I forgot how trash @united is,0,5,en,,26321411,,,
united,963793881736335362,Wed Feb 14 15:15:42 +0000 2018,|Me: we're flying home for our wedding and you have 25 empty 1st class seats...
@united: we never ever do upgrades.… https://t.co/bqCtQoYvT4|,0,0,en,,245114653,,,
united,963793704074039296,Wed Feb 14 15:15:00 +0000 2018,@united get it together https://t.co/WK2zILtNuR,1,1,en,,826628133377949696,,,
united,963793407666737152,Wed Feb 14 15:13:49 +0000 2018,Ladies and gentlemen  notice the airline here. Last @united flight I was on was an ancient 757 that had the cabin l… https://t.co/icgT8V4YOa,0,0,en,,938079699980423168,,,
united,963793187885101057,Wed Feb 14 15:12:57 +0000 2018,@united  #known #issue with the #boeing777 #stop #flying them #@NTSB do #SomethingForEveryone #dangerous #Boeing777… https://t.co/zZgxIqNR0n,0,0,en,,18565247,,,
united,963793029692821505,Wed Feb 14 15:12:19 +0000 2018,@UnitedAirHelp Aw look at you! A cute fake @united account. God bless you as you clearly have no job and time on yo… https://t.co/qyzsCU5RyL,0,0,en,963668448801972224,540140236,,,
united,963792942778302464,Wed Feb 14 15:11:58 +0000 2018,|RT @TomPodolec: @united @flightradar24 Update 
United #UA1175 from San Francisco declared emergency  pilot sounds tense  requesting emergen…|,159,0,en,,886773465532870658,,,
united,963792624011313160,Wed Feb 14 15:10:42 +0000 2018,@united If @united regrets penalizing a customer then I have an idea. #regrets #CustomerExperience. Eliminate the penalty ;),0,0,en,963768928500531200,1561379671,,,
united,963792519439048704,Wed Feb 14 15:10:17 +0000 2018,@united Flight attendant Jody on UA3438 was amazing this morning! Thank you  Please pass on the word!,0,0,en,,38470120,,,
united,963792382993903616,Wed Feb 14 15:09:45 +0000 2018,|RT @TomPodolec: @united @flightradar24 Update 
United #UA1175 from San Francisco declared emergency  pilot sounds tense  requesting emergen…|,159,0,en,,952153309560766464,,,
united,964000682360664070,Thu Feb 15 04:57:27 +0000 2018,how many rts do i need to send me to india to see my mom @united,1,2,en,,2920217443,,,
united,964000534830043136,Thu Feb 15 04:56:52 +0000 2018,Are you serious @united ? This is ridiculous. I’ve been stuck here for hours. Could I get some help here?,0,0,en,,801967511080046592,,,
united,963999206888402944,Thu Feb 15 04:51:35 +0000 2018,RT @mattblaze: Hey  @united social media person: I know this isn't your fault. But the entire computer security community thinks this passw…,441,0,en,,102260981,,,
united,963998970254110720,Thu Feb 15 04:50:39 +0000 2018,6 hours in Chicago in a delay ‍♂️‍♂️‍♂️ @united wcerytime!,0,0,en,,175205603,,,
united,963998003081039872,Thu Feb 15 04:46:48 +0000 2018,@bobcat666333 @Satcom_Guru @HNLAirport @united not my photo https://t.co/e9WOoQxDzf,0,0,en,963997671814971392,2928059262,,,
united,963997671814971392,Thu Feb 15 04:45:29 +0000 2018,@bobcat666333 @Satcom_Guru @HNLAirport @united no just a play on words,0,0,en,963961758518935552,2928059262,,,
united,963997169031241730,Thu Feb 15 04:43:29 +0000 2018,|RT @ChicagoBears: You never know who you'll run into at the airport. These lucky @United passengers ran into #DaBears!

Watch @InsideTheBea…|,33,0,en,,38249324,,,
